mode,k,recall_at_k,precision_at_k,mrr_at_k
baseline,1,0.14393939393939395,0.30303030303030304,0.14393939393939395
baseline,3,0.5555555555555555,0.3939393939393939,0.32365319865319864
baseline,5,0.595959595959596,0.3757575757575758,0.33375420875420875
baseline,7,0.9166666666666666,0.38961038961038963,0.3826358826358826
reranked,1,0.2803030303030303,0.42424242424242425,0.2803030303030303
reranked,3,0.6085858585858586,0.4343434343434343,0.4145622895622896
reranked,5,0.8484848484848485,0.4121212121212121,0.46506734006734
reranked,7,0.9595959595959597,0.39826839826839827,0.48298460798460796
