config,recall_at_k,precision_at_k,mrr_at_k,composite_score
diversity_lexical,0.8475,0.5763333333333334,0.6365,0.6867777777777778
baseline,0.71,0.7453809523809524,0.5777083333333333,0.6776964285714285
semantic_lean,0.7441666666666668,0.7140952380952381,0.5746765873015873,0.677646164021164
balanced,0.79,0.6502380952380953,0.5917261904761905,0.6773214285714286
