mode,k,recall_at_k,precision_at_k,mrr_at_k
baseline,1,0.21464646464646464,0.36363636363636365,0.21464646464646464
baseline,3,0.37626262626262624,0.3131313131313131,0.28661616161616166
baseline,5,0.5404040404040403,0.296969696969697,0.32285353535353534
baseline,7,0.5606060606060606,0.2597402597402597,0.3257395382395382
reranked,1,0.21464646464646464,0.36363636363636365,0.21464646464646464
reranked,3,0.3585858585858586,0.31313131313131315,0.26515151515151514
reranked,5,0.6767676767676767,0.30303030303030304,0.3357323232323232
reranked,7,0.8484848484848485,0.3463203463203463,0.36026334776334773
