k,id,repo,recall_at_k,precision_at_k,mrr_at_k,gt_category_count
1,synthetic-django_PR_24,kannan-dedsec/synthetic-django,0.0,0.0,0.0,2
1,synthetic-django_PR_35,kannan-dedsec/synthetic-django,0.5,1.0,0.5,2
1,synthetic-django_PR_36,kannan-dedsec/synthetic-django,0.0,0.0,0.0,1
1,synthetic-django_PR_39,kannan-dedsec/synthetic-django,0.25,1.0,0.25,4
1,synthetic-fastapi_PR_31,kannan-dedsec/synthetic-fastapi,0.0,0.0,0.0,1
1,synthetic-fastapi_PR_34,kannan-dedsec/synthetic-fastapi,0.0,0.0,0.0,1
1,synthetic-fastapi_PR_38,kannan-dedsec/synthetic-fastapi,0.0,0.0,0.0,1
1,synthetic-sklearn_PR_24,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,3
1,synthetic-sklearn_PR_30,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,2
1,synthetic-sklearn_PR_38,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,2
3,synthetic-django_PR_24,kannan-dedsec/synthetic-django,0.0,0.0,0.0,2
3,synthetic-django_PR_35,kannan-dedsec/synthetic-django,0.5,0.6666666666666666,0.5,2
3,synthetic-django_PR_36,kannan-dedsec/synthetic-django,0.0,0.0,0.0,1
3,synthetic-django_PR_39,kannan-dedsec/synthetic-django,0.5,1.0,0.375,4
3,synthetic-fastapi_PR_31,kannan-dedsec/synthetic-fastapi,0.0,0.0,0.0,1
3,synthetic-fastapi_PR_34,kannan-dedsec/synthetic-fastapi,0.0,0.0,0.0,1
3,synthetic-fastapi_PR_38,kannan-dedsec/synthetic-fastapi,0.0,0.0,0.0,1
3,synthetic-sklearn_PR_24,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,3
3,synthetic-sklearn_PR_30,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,2
3,synthetic-sklearn_PR_38,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,2
5,synthetic-django_PR_24,kannan-dedsec/synthetic-django,0.0,0.0,0.0,2
5,synthetic-django_PR_35,kannan-dedsec/synthetic-django,1.0,0.6,0.6,2
5,synthetic-django_PR_36,kannan-dedsec/synthetic-django,0.0,0.0,0.0,1
5,synthetic-django_PR_39,kannan-dedsec/synthetic-django,0.75,1.0,0.425,4
5,synthetic-fastapi_PR_31,kannan-dedsec/synthetic-fastapi,0.0,0.0,0.0,1
5,synthetic-fastapi_PR_34,kannan-dedsec/synthetic-fastapi,0.0,0.0,0.0,1
5,synthetic-fastapi_PR_38,kannan-dedsec/synthetic-fastapi,0.0,0.0,0.0,1
5,synthetic-sklearn_PR_24,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,3
5,synthetic-sklearn_PR_30,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,2
5,synthetic-sklearn_PR_38,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,2
7,synthetic-django_PR_24,kannan-dedsec/synthetic-django,0.5,0.14285714285714285,0.08333333333333333,2
7,synthetic-django_PR_35,kannan-dedsec/synthetic-django,1.0,0.5714285714285714,0.6,2
7,synthetic-django_PR_36,kannan-dedsec/synthetic-django,0.0,0.0,0.0,1
7,synthetic-django_PR_39,kannan-dedsec/synthetic-django,0.75,0.8571428571428571,0.425,4
7,synthetic-fastapi_PR_31,kannan-dedsec/synthetic-fastapi,0.0,0.0,0.0,1
7,synthetic-fastapi_PR_34,kannan-dedsec/synthetic-fastapi,0.0,0.0,0.0,1
7,synthetic-fastapi_PR_38,kannan-dedsec/synthetic-fastapi,0.0,0.0,0.0,1
7,synthetic-sklearn_PR_24,kannan-dedsec/synthetic-sklearn,0.3333333333333333,0.14285714285714285,0.047619047619047616,3
7,synthetic-sklearn_PR_30,kannan-dedsec/synthetic-sklearn,0.5,0.14285714285714285,0.07142857142857142,2
7,synthetic-sklearn_PR_38,kannan-dedsec/synthetic-sklearn,0.5,0.14285714285714285,0.07142857142857142,2
